,user_count,type,consumed_size_mb_mean,consumed_size_mb_sum,consumed_size_mb_var,consumed_size_mb_std,serialize_duration_mean,serialize_duration_sum,serialize_duration_var,serialize_duration_std,produce_duration_mean,produce_duration_sum,produce_duration_var,produce_duration_std,consume_duration_mean,consume_duration_sum,consume_duration_var,consume_duration_std,deserialize_duration_mean,deserialize_duration_sum,deserialize_duration_var,deserialize_duration_std,throughput_mbps_mean,throughput_mbps_sum,throughput_mbps_var,throughput_mbps_std,total_serialization_duration_mean,total_serialization_duration_sum,total_serialization_duration_var,total_serialization_duration_std,instance_count
0,1,json,0.00015285491943359375,0.03057098388671875,2.8807673388018463e-12,1.6972823391533437e-06,0.028313398361206055,5.662679672241211,0.026804412187006233,0.16372053074372264,0.010479692220687866,2.0959384441375732,0.004282663549320271,0.06544206253870878,0.011620694398880005,2.324138879776001,0.004273795475554497,0.06537427227552516,0.06961226463317871,13.922452926635742,0.02606619438440712,0.16145028455969695,0.02266934640964481,4.533869281928962,1.4953337923165118e-05,0.003866954605780254,0.09792566299438477,19.585132598876953,0.058641067536754486,0.2421591780972889,200
1,1,proto,8.386611938476562e-05,0.016773223876953125,6.0693917786656e-14,2.463613561146634e-07,0.2873682975769043,57.47365951538086,12.669086002788891,3.5593659551651737,0.010597659349441528,2.1195318698883057,0.004846537588756536,0.06961707828368364,0.01157434582710266,2.3148691654205322,0.004847653704808795,0.06962509393034091,0.15167951583862305,30.33590316772461,0.06029802045016745,0.2455565524480409,0.01294393986881268,2.588787973762536,5.108589244811935e-06,0.0022602188488754656,0.43904781341552734,87.80956268310547,12.648377259526315,3.5564557159518118,200
2,50,json,0.00785527229309082,1.571054458618164,1.9789393574417333e-09,4.448527124163382e-05,0.13760924339294434,27.521848678588867,0.16622698036576244,0.40770943129361437,0.006614350080490113,1.3228700160980225,7.33274016208205e-06,0.0027079032778299247,0.008063713312149048,1.6127426624298096,8.617084193030903e-06,0.0029354870452841216,0.36907315254211426,73.81463050842285,0.10838252436759553,0.32921501236668343,1.032067423505232,206.4134847010464,0.038491941954651165,0.1961936338280403,0.5066823959350586,101.33647918701172,0.26587192333502585,0.515627698378419,200
3,50,proto,0.0038653516769409178,0.7730703353881836,3.3288191633655672e-12,1.8245051831566737e-06,0.12279868125915527,24.559736251831055,0.14268944644397183,0.37774256636494097,0.0066743016242980955,1.3348603248596191,2.360129525656668e-05,0.0048581164309397405,0.00792672038078308,1.5853440761566162,2.4098965487327763e-05,0.004909069717097911,0.12650370597839355,25.30074119567871,0.04606991087660817,0.21463902458921155,0.5319262390591191,106.3852478118238,0.014926749856019274,0.12217507870273411,0.24930238723754883,49.860477447509766,0.19797236466583104,0.4449408552446393,200
4,100,json,0.01601400852203369,3.2028017044067383,7.272278502448654e-12,2.6967162443328467e-06,0.7180154323577881,143.60308647155762,58.14455442183928,7.625257662652409,0.007206699848175049,1.4413399696350098,6.566340944661289e-06,0.002562487257463203,0.008904398679733276,1.7808797359466553,7.622507009852251e-06,0.00276088880794795,0.714331865310669,142.8663730621338,0.1252660134950496,0.35392939054993666,1.8822554081168874,376.4510816233775,0.1069431023655946,0.3270215625392225,1.432347297668457,286.4694595336914,58.26762641454793,7.633323418704852,200
5,100,proto,0.0077239561080932615,1.5447912216186523,8.675368318753e-12,2.9453978201175135e-06,0.18539905548095703,37.079811096191406,0.30393469695987724,0.551302727147143,0.006896016597747803,1.3792033195495605,2.5845845557147588e-06,0.0016076643168630566,0.008364033699035645,1.672806739807129,4.636520885131305e-06,0.0021532582021511737,0.1437079906463623,28.74159812927246,0.05378777688431011,0.23192191980127733,0.961270635986456,192.2541271972912,0.027812701667521075,0.16677140542527388,0.32910704612731934,65.82140922546387,0.3478611246514127,0.5897975285226387,200
6,500,json,0.07991140365600585,15.982280731201172,2.4025716386552933e-07,0.0004901603450561146,0.5655801296234131,113.11602592468262,1.8230753501278054,1.3502130758246291,0.018579775094985963,3.7159550189971924,0.005117459396776019,0.071536420072408,0.02436191201210022,4.872382402420044,0.005145710917660505,0.07173361079480459,3.074861764907837,614.9723529815674,0.5209235779641025,0.7217503570931589,4.429400704291831,885.8801408583663,0.8318495411863625,0.9120578606570761,3.64044189453125,728.08837890625,2.2594605843779614,1.5031502201636273,200
7,500,proto,0.03840747356414795,7.68149471282959,2.236976724222322e-07,0.000472966883007925,1.2095928192138672,241.91856384277344,12.124990418336136,3.482095693449009,0.015385088920593261,3.0770177841186523,0.003987210357258734,0.06314436124673947,0.01784784197807312,3.569568395614624,0.003993073978593431,0.06319077447375868,0.597003698348999,119.4007396697998,0.22713385647394813,0.4765856234444637,3.0826911794577643,616.5382358915529,0.5771854350641566,0.7597272109541402,1.8065965175628662,361.31930351257324,12.003243388500628,3.4645697263153226,200
8,1000,json,0.1598228073120117,31.964561462402344,8.664867634786856e-07,0.0009308527077248503,1.3296175003051758,265.92350006103516,5.393227768823022,2.3223323984354654,0.023540718555450438,4.708143711090088,9.198548385152254e-05,0.00959090631022546,0.036139298677444455,7.227859735488892,0.00015134756479992701,0.012302339809968144,5.965842008590698,1193.1684017181396,56.83400037801608,7.538832825976185,4.767447569025816,953.4895138051631,1.1794512458691457,1.0860254351851737,7.295459508895874,1459.0919017791748,64.27665005245149,8.01727198319051,200
9,1000,proto,0.07680827140808105,15.361654281616211,8.326314251169877e-07,0.0009124863972229875,1.2598824501037598,251.97649002075195,5.916380657554695,2.432361128112907,0.01750869393348694,3.5017387866973877,3.553942900873294e-05,0.005961495534572926,0.02547987937927246,5.095975875854492,9.896845858121695e-05,0.009948289228868295,1.278836727142334,255.7673454284668,1.0494580966171454,1.024430620694806,3.326543703840138,665.3087407680276,0.8945202851162963,0.9457908252443012,2.5387191772460938,507.74383544921875,6.746350813246962,2.597373830092034,200
10,2500,json,0.3995570182800293,79.91140365600586,4.998245627511675e-06,0.002235675653468471,2.041696310043335,408.339262008667,16.463827937535413,4.057564286309635,0.06632227182388306,13.264454364776611,0.004835621155759739,0.0695386306721648,0.0946192455291748,18.92384910583496,0.00484082464106482,0.06957603496222546,10.972980260848999,2194.5960521698,7.452753272636515,2.7299731267242384,4.553042663477693,910.6085326955385,0.5467395163320599,0.7394183635345147,13.014676570892334,2602.935314178467,28.129127900705388,5.303690026830885,200
11,2500,proto,0.19201066493988037,38.402132987976074,4.909356856952055e-06,0.002215706852666222,2.7160632610321045,543.2126522064209,27.798517638487485,5.272429955768733,0.04630089282989502,9.260178565979004,0.00521820646117564,0.07223715429871003,0.06424684166908264,12.849368333816528,0.005401424512631033,0.07349438422512997,2.3345744609832764,466.9148921966553,1.1116409233103643,1.054343835430532,3.479815920522859,695.9631841045718,0.5952984994305258,0.7715558952081993,5.050637722015381,1010.1275444030762,28.19926278436865,5.310297805619629,200
12,5000,json,0.7991140365600586,159.82280731201172,1.9443448169780557e-05,0.0044094725500654335,21.26635432243347,4253.270864486694,38.38002225086856,6.195161196520116,0.08657283425331115,17.31456685066223,0.0008079398207259651,0.02842428223765668,0.12992389798164367,25.984779596328735,0.001101663821944477,0.033191321485359346,21.451590061187744,4290.318012237549,37.47124987315413,6.121376468830693,6.418902404650245,1283.780480930049,1.2827155841664581,1.132570344025685,42.717944383621216,8543.588876724243,79.33361027600813,8.906941690390036,200
13,5000,proto,0.3840146541595459,76.80293083190918,1.924793668739989e-05,0.004387247051101623,27.663644552230835,5532.728910446167,66.42143915368153,8.149934917143911,0.0532453989982605,10.6490797996521,0.0006635768805046474,0.02575998603463611,0.07817820906639099,15.635641813278198,0.0007653834001489493,0.02766556343451095,2.3413097858428955,468.2619571685791,1.9777597912462204,1.4063284791421313,5.237411195063536,1047.4822390127072,1.1018494228852238,1.0496901556579559,30.00495433807373,6000.990867614746,68.34597525713397,8.26716246708228,200
14,7500,json,1.1986710548400878,239.73421096801758,3.5652573255239424e-05,0.00597097757952912,36.46723389625549,7293.446779251099,74.42935179668886,8.627244739584524,0.10910098433494568,21.820196866989136,0.0012965880107990789,0.03600816589051821,0.1707690703868866,34.15381407737732,0.002116592291934491,0.04600643750535886,35.583001375198364,7116.600275039673,52.226937648217834,7.226820715101339,7.41616171468347,1483.232342936694,2.469487092534476,1.5714601784755717,72.05023527145386,14410.047054290771,150.75652445831918,12.278294851416428,200
15,7500,proto,0.5760186433792114,115.20372867584229,3.732375657007691e-05,0.006109317193441253,42.854039669036865,8570.807933807373,111.83437219084512,10.575177170659842,0.05910278081893921,11.820556163787842,0.00042551087642945346,0.020627914980178037,0.0919510018825531,18.39020037651062,0.000879116968758009,0.029649906724271646,3.193020820617676,638.6041641235352,8.9121421738059,2.9853211173684318,6.679431378517441,1335.886275703488,2.121697323556301,1.456604724541391,46.04706048965454,9209.412097930908,119.77614160497781,10.944228689358507,200
16,10000,json,1.5982280731201173,319.64561462402344,7.627255805556288e-05,0.008733416173271653,48.63336205482483,9726.672410964966,140.1636664684175,11.83907371665611,0.1283987593650818,25.679751873016357,0.0013358527909272673,0.03654931997899916,0.20977686524391173,41.95537304878235,0.002054153083724083,0.04532276562307383,47.169859409332275,9433.971881866455,44.911884489512445,6.701632971859355,7.904551368313816,1580.9102736627633,1.9447441432698858,1.394540835999393,95.8032214641571,19160.64429283142,183.10974021116365,13.531804765483562,200
17,10000,proto,0.7680226325988769,153.6045265197754,7.467144706566405e-05,0.008641264205292189,56.205894947052,11241.1789894104,128.71841696442084,11.345413917721153,0.07723501086235046,15.447002172470093,0.00109141036477818,0.033036500492306685,0.11852607488632202,23.705214977264404,0.0013950088453825505,0.03734981720681576,4.058382511138916,811.6765022277832,4.925490270459787,2.2193445587514766,6.956435014607731,1391.2870029215462,2.7061587335799993,1.6450406480023523,60.26427745819092,12052.855491638184,138.27365710506982,11.75898197570988,200
